dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
German Credit,Attribute13,LGAFFS,Test,Surrogate,SVC,Young,0.9937,0.995,0.9709,1.12,0.88,0.9709,0.8867,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,GaussianNB,Aged,1.2413,0.8621,1.1694,1.0,1.0,0.8306,0.9067,"[18, 12, 13, 57]",0.75,0.8201,0.8143,0.8261,0.4105,"[[0.0, 0.4, 1.0], [0.0, 0.8142857142857143, 1.0], [inf, 1.0, 0.0]]",0.7071,0.8143,0.6
German Credit,Attribute13,LGAFFS,Test,Surrogate,GaussianNB,Young,0.8056,0.8621,0.8306,1.0,1.0,0.8306,0.9067,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Aged,1.3024,0.8272,1.2313,1.04,0.96,0.7687,0.85,"[11, 19, 17, 53]",0.64,0.7465,0.7571,0.7361,0.1264,"[[0.0, 0.6333333333333333, 1.0], [0.0, 0.7571428571428571, 1.0], [inf, 1.0, 0.0]]",0.5619,0.7571,0.3667
German Credit,Attribute13,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Young,0.7678,0.8272,0.7687,0.96,0.96,0.7687,0.85,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,RandomForestClassifier,Aged,1.3635,0.7923,1.2185,1.12,0.88,0.7815,0.9,"[15, 15, 10, 60]",0.75,0.8276,0.8571,0.8,0.378,"[[0.0, 0.5, 1.0], [0.0, 0.8571428571428571, 1.0], [inf, 1.0, 0.0]]",0.6786,0.8571,0.5
German Credit,Attribute13,LGAFFS,Test,Surrogate,RandomForestClassifier,Young,0.7334,0.7923,0.7815,0.88,0.88,0.7815,0.9,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Test,XGBClassifier,Aged,1.3333,0.8,1.1855,1.0062,0.9938,0.8145,0.9333,"[17, 13, 6, 64]",0.81,0.8707,0.9143,0.8312,0.5237,"[[0.0, 0.43333333333333335, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.7405,0.9143,0.5667
German Credit,Attribute13,LGAFFS,Validation,Test,XGBClassifier,Young,0.75,0.8,0.8145,0.9938,0.9938,0.8145,0.9333,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Test,XGBClassifier,Aged,1.2299,0.8522,1.2022,1.0,1.0,0.7978,0.8467,"[12, 18, 11, 59]",0.71,0.8027,0.8429,0.7662,0.2645,"[[0.0, 0.6, 1.0], [0.0, 0.8428571428571429, 1.0], [inf, 1.0, 0.0]]",0.6214,0.8429,0.4
