dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,SVC,Female,0.3629248500000001,0.19260435,0.2947000000000001,0.8967663500000002,0.8967663499999998,0.2946999999999999,0.9668438000000004,0.7555555555555555,0.8315444444444443,0.6835962962962965
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,GaussianNB,Female,0.7226978700000001,0.2380086,0.478,0.6428898000000002,0.6428898000000002,0.4780000000000001,1.54261447,0.7185185185185188,0.7820370370370371,0.7135814814814815
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.4246830199999999,0.19849294,0.3225,0.7095990400000002,0.7095990400000001,0.3225,3.873627130000001,0.6785185185185184,0.7636296296296297,0.6352851851851853
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,RandomForestClassifier,Female,0.20616836,0.12227263,0.2476,0.5982588300000002,0.59825883,0.2475999999999999,1.4705038,0.7637037037037038,0.8383000000000002,0.689774074074074
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Test,XGBClassifier,Female,0.36516296,0.1932059299999999,0.2134999999999999,0.7256781400000002,0.72567814,0.2135,1.96250491,0.7481481481481481,0.824974074074074,0.6790148148148147
German Credit,Attribute9,Female,Reweighing,Test,2,False,Test,XGBClassifier,Female,0.2703989599999999,0.13563081,0.2796,0.5896930500000003,0.58969305,0.2796,2.22862446,0.7407407407407405,0.8177037037037038,0.6800703703703704
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Male,0.8491777300000002,0.3794325000000001,0.2067,1.0129527900000002,1.01295279,0.2067,0.8119160200000001,0.7703703703703703,0.8451888888888889,0.6860703703703704
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,SVC,Male,0.27217269,0.13993839,0.0991,0.6123412100000001,0.61234121,0.0990999999999999,0.8266371299999999,0.774074074074074,0.8481111111111111,0.6883666666666666
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,2.09841979,0.5275025299999999,0.4769,0.72473131,0.72473131,0.4769,1.47702113,0.7296296296296296,0.7945777777777778,0.7134037037037037
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.7229385300000002,0.50554851,0.4628999999999998,0.9905019000000004,0.9905019,0.4629000000000001,3.35778446,0.6733333333333333,0.7654296296296299,0.6132296296296297
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.5932220300000002,0.24395952,0.2142,0.6611155000000002,0.6611155000000001,0.2142,1.11290758,0.764814814814815,0.8418888888888889,0.6771555555555556
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,1.02680354,0.384198,0.245,1.40892933,1.4089293299999996,0.245,1.02835913,0.7466666666666666,0.8275703703703704,0.6648925925925927
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,SVC,Male,0.5744510100000001,0.2364985799999999,0.2633,0.79529813,0.7952981299999998,0.2633,0.8785146899999999,0.7551851851851852,0.8338407407407409,0.6734555555555557
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,GaussianNB,Male,3.59550748,0.57800964,0.6231999999999999,0.9313622100000004,0.9313622099999996,0.6232000000000001,1.59636602,0.7225925925925927,0.7879518518518518,0.7111925925925926
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.7784383,0.2675802599999999,0.3680000000000002,0.6616195100000001,0.6616195100000001,0.3680000000000001,3.33974602,0.6844444444444444,0.772048148148148,0.6310333333333334
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Male,0.4797918699999998,0.21379079,0.2239,0.5568681600000001,0.55686816,0.2239,1.42990091,0.7707407407407408,0.8436555555555557,0.6955074074074075
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Test,XGBClassifier,Male,0.99697529,0.35569976,0.3883999999999999,0.7701302500000002,0.7701302500000001,0.3883999999999999,1.8163858,0.7677777777777779,0.8390592592592592,0.7011444444444445
German Credit,Attribute9,Male,Reweighing,Test,1,False,Test,XGBClassifier,Male,0.7691088799999999,0.2747452199999999,0.2618,0.7272112900000003,0.7272112900000001,0.2618,2.07532824,0.75,0.8248037037037037,0.6884555555555556
