dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,GaussianNB,other,0.9336,0.9596,0.9921,0.7300,0.7300,0.9921,0.9808,0.6311,0.7631,0.6817
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,GaussianNB,white,1.4604,0.7983,1.1716,1.1299,0.8701,0.8284,0.9802,0.6311,0.7631,0.6817
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,asian,1.0034,0.9968,1.0091,0.9570,0.9570,0.9909,0.9656,0.9094,0.9522,0.5385
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,black,0.9485,0.9511,0.9400,1.0707,0.9293,0.9400,0.9647,0.9094,0.9522,0.5385
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,hisp,0.9874,0.9881,0.9878,1.0395,0.9605,0.9878,0.9652,0.9094,0.9522,0.5385
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,other,0.9990,0.9990,0.9903,1.1300,0.8700,0.9903,0.9656,0.9094,0.9522,0.5385
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,white,1.0249,0.9769,1.0248,0.9244,0.9244,0.9752,0.9659,0.9094,0.9522,0.5385
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,RandomForestClassifier,asian,0.9729,0.9731,0.9836,0.8436,0.8436,0.9836,0.9881,0.9401,0.9691,0.5041
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,RandomForestClassifier,black,0.9948,0.9949,0.9895,1.0263,0.9737,0.9895,0.9878,0.9401,0.9691,0.5041
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,RandomForestClassifier,hisp,1.0124,0.9877,1.0118,1.0217,0.9783,0.9882,0.9883,0.9401,0.9691,0.5041
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,RandomForestClassifier,other,1.0121,0.9881,1.0115,1.0200,0.9800,0.9885,0.9880,0.9401,0.9691,0.5041
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,RandomForestClassifier,white,1.0041,0.9959,1.0033,1.0034,0.9966,0.9967,0.9883,0.9401,0.9691,0.5041
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Target,XGBClassifier,asian,1.0170,0.9833,1.0155,1.0404,0.9596,0.9845,0.9860,0.9366,0.9672,0.5116
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Target,XGBClassifier,black,1.0084,0.9918,1.0157,1.0014,0.9986,0.9843,0.9857,0.9366,0.9672,0.5116
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Target,XGBClassifier,hisp,0.9600,0.9605,0.9640,0.9489,0.9489,0.9640,0.9857,0.9366,0.9672,0.5116
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Target,XGBClassifier,other,1.0167,0.9836,1.0152,1.0396,0.9604,0.9848,0.9859,0.9366,0.9672,0.5116
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Target,XGBClassifier,white,1.0025,0.9975,0.9992,1.0051,0.9949,0.9992,0.9857,0.9366,0.9672,0.5116
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,XGBClassifier,asian,1.0218,0.9787,1.0203,1.0412,0.9588,0.9797,0.9838,0.9332,0.9654,0.5097
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,XGBClassifier,black,0.9506,0.9515,0.9534,0.9522,0.9522,0.9534,0.9839,0.9332,0.9654,0.5097
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,XGBClassifier,hisp,0.9989,0.9989,0.9949,1.0435,0.9565,0.9949,0.9842,0.9332,0.9654,0.5097
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,XGBClassifier,other,0.9932,0.9933,0.9899,1.0400,0.9600,0.9899,0.9838,0.9332,0.9654,0.5097
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,XGBClassifier,white,1.0157,0.9848,1.0143,1.0068,0.9932,0.9857,0.9836,0.9332,0.9654,0.5097
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,LogisticRegression,asian,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9488,0.9737,0.5000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,LogisticRegression,black,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9488,0.9737,0.5000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,LogisticRegression,hisp,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9488,0.9737,0.5000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,LogisticRegression,other,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9488,0.9737,0.5000
